URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,60,32,0.3043488260869565,0.1541038523381845,12.32051282051282,45.88969823100936,23.284084420608874,12.32051282051282,441,962,2.5390218522372527,1,7.730489073881373
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,54,38,0.1739140434782608,0.1541038523381845,6.790123456790123,40.0,18.71604938271605,6.790123456790123,220,552,2.345454545454545,6,7.236363636363636
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65,35,0.3000009999999999,0.1675041873241136,9.569767441860463,45.808019441069256,22.15111475317189,9.569767441860463,377,814,2.566221142162819,3,7.660996354799514
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,53,25,0.3589753589743589,0.1306532661128086,6.747368421052632,36.505460218408736,17.30113145578455,6.747368421052632,234,645,2.30421216848674,18,7.095163806552262
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,48,25,0.3150694931506849,0.1222780567466029,9.19047619047619,40.5440414507772,19.89380705650136,9.19047619047619,313,779,2.349740932642487,18,7.305699481865285
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,42,23,0.2923086923076923,0.1088777217606738,8.43939393939394,40.0359066427289,19.39012023284914,8.43939393939394,223,556,2.3716337522441653,16,7.258527827648115
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,22,11,0.3333343333333333,0.0552763818169574,7.191489361702128,42.89940828402367,20.03635905829032,7.191489361702128,145,344,2.36094674556213,7,7.035502958579881
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,32,13,0.4222232222222222,0.0753768842958511,8.54054054054054,31.329113924050635,15.947861785836473,8.54054054054054,99,317,2.1265822784810124,2,6.889240506329114
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,60,32,0.3043488260869565,0.1541038523381845,11.246913580246911,40.72447859495061,20.788556870079006,11.246913580246911,371,918,2.392974753018661,7,7.281009879253568
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,44,54,-0.1020398163265306,0.1641541035776313,8.410714285714286,36.51804670912951,17.97150439793752,8.410714285714286,344,958,2.3365180467091293,1,7.088110403397027
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,31,19,0.240001,0.0837520936620568,10.137931034482758,47.7891156462585,23.170818672296505,10.137931034482758,281,588,2.557823129251701,10,7.812925170068027
